deal_id,sales_rep,region,stage,deal_amount,profit,discount_pct,closed_date
DEAL-0028,Bob Jones,LATAM,Closed Lost,81932.44,17555.75,19.6,2025-05-23
DEAL-0029,Diana Prince,APAC,Qualified,26897.14,4816.72,10.3,2025-07-28
DEAL-0030,Alice Smith,North America,Qualified,82436.92,36705.0,18.2,2025-01-28
DEAL-0031,Diana Prince,EMEA,Qualified,33595.48,6956.37,4.6,2025-02-25
DEAL-0032,Diana Prince,North America,Closed Won,33727.74,14401.06,16.3,2025-08-25
DEAL-0033,Bob Jones,EMEA,Qualified,101143.17,44573.68,12.1,2025-10-04
DEAL-0034,Bob Jones,LATAM,Closed Won,104434.8,43939.15,24.6,2025-04-20
DEAL-0035,Carlos Ray,LATAM,Negotiation,111549.58,43006.69,16.5,2025-05-16
DEAL-0036,Alice Smith,North America,Proposal,22801.63,5449.87,1.4,2025-09-07
DEAL-0037,Evan Wright,EMEA,Closed Won,59830.68,25476.87,24.0,2025-10-27
DEAL-0038,Alice Smith,EMEA,Qualified,102904.39,17551.0,3.0,2025-02-11
DEAL-0039,Evan Wright,North America,Qualified,33314.76,10939.09,16.4,2025-10-19
DEAL-0040,Bob Jones,APAC,Closed Lost,65120.01,28028.43,6.6,2025-10-17
DEAL-0041,Carlos Ray,North America,Closed Won,82244.38,19738.58,11.5,2025-03-09
DEAL-0042,Bob Jones,APAC,Closed Lost,119551.09,20560.18,23.3,2025-10-16
DEAL-0043,Bob Jones,LATAM,Negotiation,106116.08,27681.24,17.6,2025-02-05
DEAL-0044,Evan Wright,North America,Negotiation,118143.13,46327.46,7.5,2025-11-10
DEAL-0045,Carlos Ray,North America,Closed Won,16912.45,6992.25,18.6,2025-12-06
DEAL-0046,Carlos Ray,EMEA,Proposal,36320.04,12038.24,12.6,2025-03-21
DEAL-0047,Alice Smith,LATAM,Proposal,109113.7,44063.51,1.1,2025-05-09
DEAL-0048,Carlos Ray,EMEA,Qualified,93678.71,31956.99,13.8,2025-06-20
DEAL-0049,Bob Jones,North America,Proposal,69504.29,12758.36,14.6,2025-08-07
DEAL-0050,Carlos Ray,North America,Proposal,54425.47,8846.79,5.3,2025-03-17
DEAL-0051,Evan Wright,LATAM,Negotiation,81697.34,20922.98,18.7,2025-05-08
DEAL-0052,Bob Jones,LATAM,Closed Won,104429.66,46247.91,4.5,2025-05-02
DEAL-0053,Bob Jones,APAC,Closed Lost,94974.45,25976.84,19.7,2025-06-20
DEAL-0054,Diana Prince,EMEA,Closed Lost,48992.3,7918.01,20.4,2025-02-25
DEAL-0055,Bob Jones,EMEA,Closed Won,45210.72,17910.72,16.5,2025-08-24
DEAL-0056,Carlos Ray,APAC,Negotiation,42750.12,17497.88,10.0,2025-07-24
DEAL-0057,Carlos Ray,EMEA,Negotiation,43082.23,6819.06,24.1,2025-10-02
DEAL-0058,Carlos Ray,APAC,Qualified,9399.58,3092.19,15.2,2025-05-16
DEAL-0059,Bob Jones,APAC,Closed Won,18299.27,7682.97,17.7,2025-09-19
DEAL-0060,Bob Jones,APAC,Qualified,64790.84,25394.98,1.7,2025-01-01
DEAL-0061,Alice Smith,APAC,Negotiation,110888.65,37363.56,7.7,2025-12-07
DEAL-0062,Evan Wright,EMEA,Closed Lost,42511.03,15268.37,10.5,2025-07-29
DEAL-0063,Evan Wright,APAC,Qualified,82891.56,34884.22,13.7,2025-07-14
DEAL-0064,Evan Wright,APAC,Qualified,39945.62,8510.61,11.0,2025-01-01
DEAL-0065,Bob Jones,North America,Proposal,29575.66,8634.79,12.9,2025-12-12
DEAL-0066,Bob Jones,APAC,Closed Lost,76214.99,13567.5,20.2,2025-11-21
DEAL-0067,Diana Prince,North America,Qualified,7808.92,1744.92,10.4,2025-03-17
DEAL-0068,Diana Prince,LATAM,Qualified,71202.15,26024.65,6.1,2025-11-19
DEAL-0069,Alice Smith,LATAM,Closed Lost,84076.58,35127.02,4.4,2025-12-02
DEAL-0070,Bob Jones,North America,Qualified,64565.14,10657.48,3.3,2025-12-23
DEAL-0071,Evan Wright,APAC,Qualified,81771.44,36500.13,15.3,2025-08-26
DEAL-0072,Diana Prince,EMEA,Qualified,54075.19,22822.78,11.3,2025-09-16
DEAL-0073,Evan Wright,LATAM,Closed Lost,101584.23,23688.77,6.9,2025-05-07
DEAL-0074,Carlos Ray,APAC,Negotiation,87057.66,19182.99,2.0,2025-02-09
DEAL-0075,Bob Jones,North America,Qualified,31595.07,11316.88,10.2,2025-03-19
DEAL-0076,Diana Prince,LATAM,Negotiation,58581.29,9881.48,23.7,2025-10-05
DEAL-0077,Diana Prince,LATAM,Closed Won,103524.18,39305.89,23.6,2025-01-11
DEAL-0078,Diana Prince,EMEA,Qualified,91649.64,37212.91,5.5,2025-06-02
DEAL-0079,Diana Prince,EMEA,Qualified,60848.83,16225.78,23.0,2025-08-12
DEAL-0080,Evan Wright,North America,Closed Won,66424.22,28036.25,16.1,2025-11-15
DEAL-0081,Carlos Ray,LATAM,Proposal,104687.91,21410.64,5.3,2025-03-11
DEAL-0082,Carlos Ray,LATAM,Proposal,43812.56,18133.67,20.9,2025-06-17
DEAL-0083,Carlos Ray,EMEA,Closed Won,7229.08,2254.21,19.5,2025-08-29
DEAL-0084,Bob Jones,EMEA,Closed Won,9629.69,1534.1,15.5,2025-11-30
DEAL-0085,Evan Wright,EMEA,Qualified,19515.41,6846.74,17.5,2025-05-03
DEAL-0086,Alice Smith,EMEA,Proposal,24295.75,8070.42,2.7,2025-07-08
DEAL-0087,Diana Prince,LATAM,Closed Lost,111822.02,36089.33,1.9,2025-01-14
DEAL-0088,Carlos Ray,North America,Negotiation,100515.74,22400.42,19.6,2025-12-20
DEAL-0089,Alice Smith,APAC,Closed Won,66265.7,23090.71,21.2,2025-06-27
DEAL-0090,Diana Prince,EMEA,Qualified,17136.97,7510.04,4.4,2025-09-08
DEAL-0091,Evan Wright,LATAM,Qualified,116029.48,26805.68,10.9,2025-09-25
DEAL-0092,Alice Smith,APAC,Qualified,35865.49,14543.96,6.1,2025-10-31
DEAL-0093,Carlos Ray,North America,Qualified,70532.71,24718.65,21.3,2025-08-26
DEAL-0094,Carlos Ray,APAC,Proposal,61068.24,15660.8,22.0,2025-04-04
DEAL-0095,Evan Wright,EMEA,Closed Won,106212.34,33641.41,6.0,2025-12-26
DEAL-0096,Diana Prince,LATAM,Qualified,61186.45,23094.79,19.8,2025-07-28
DEAL-0097,Bob Jones,APAC,Negotiation,38837.09,10537.29,9.2,2025-02-17
DEAL-0098,Evan Wright,APAC,Proposal,66056.02,18340.53,17.6,2025-10-11
DEAL-0099,Bob Jones,APAC,Closed Won,40261.64,8823.8,18.6,2025-05-19
DEAL-0100,Diana Prince,APAC,Negotiation,26292.23,5650.6,24.4,2025-12-20
DEAL-0101,Bob Jones,APAC,Closed Lost,73630.94,32703.42,9.0,2025-09-26
DEAL-0102,Carlos Ray,North America,Closed Won,6627.06,2055.98,13.8,2025-06-04
DEAL-0103,Diana Prince,North America,Closed Won,113570.31,38768.46,14.4,2025-12-24
DEAL-0104,Alice Smith,APAC,Qualified,60052.13,15145.85,2.9,2025-08-29
DEAL-0105,Alice Smith,EMEA,Closed Lost,51081.36,8797.47,20.3,2025-02-03
DEAL-0106,Evan Wright,LATAM,Negotiation,14795.8,3321.03,14.9,2025-06-05
DEAL-0107,Diana Prince,LATAM,Proposal,30954.02,9495.82,21.5,2025-11-13
DEAL-0108,Evan Wright,North America,Closed Lost,40118.73,13492.26,15.6,2025-08-08
DEAL-0109,Bob Jones,North America,Closed Lost,80949.24,15956.48,0.1,2025-05-16
DEAL-0110,Alice Smith,EMEA,Proposal,84277.68,24522.59,17.7,2025-08-19
DEAL-0111,Bob Jones,APAC,Negotiation,103854.77,17795.92,16.5,2025-12-26
DEAL-0112,Bob Jones,APAC,Closed Lost,53890.98,16887.75,1.8,2025-04-12
DEAL-0113,Evan Wright,APAC,Qualified,96152.29,31587.3,3.1,2025-03-26
DEAL-0114,Carlos Ray,LATAM,Qualified,39970.49,10822.11,2.0,2025-12-19
DEAL-0115,Evan Wright,APAC,Closed Won,107283.63,39733.58,2.3,2025-01-21
DEAL-0116,Alice Smith,APAC,Negotiation,101135.24,32622.16,1.0,2025-12-12
DEAL-0117,Carlos Ray,EMEA,Negotiation,59107.59,20418.89,10.9,2025-03-31
DEAL-0118,Diana Prince,APAC,Proposal,116441.35,33884.8,16.8,2025-09-09
DEAL-0119,Carlos Ray,LATAM,Negotiation,42927.42,15372.4,0.9,2025-03-24
DEAL-0120,Diana Prince,North America,Negotiation,41169.47,10168.12,11.5,2025-02-15
DEAL-0121,Diana Prince,LATAM,Closed Won,26571.99,6869.76,5.1,2025-01-28
DEAL-0122,Diana Prince,North America,Closed Won,20066.52,4743.9,24.3,2025-10-09
DEAL-0123,Carlos Ray,North America,Negotiation,96921.08,35176.04,10.2,2025-11-08
DEAL-0124,Diana Prince,North America,Closed Lost,119109.57,50488.04,12.5,2025-04-26
DEAL-0125,Diana Prince,LATAM,Closed Lost,63520.28,14738.45,11.4,2025-05-30
DEAL-0126,Evan Wright,EMEA,Closed Won,49112.39,20949.4,6.9,2025-03-16
DEAL-0127,Carlos Ray,North America,Proposal,44085.65,17030.96,18.2,2025-08-01
DEAL-0128,Bob Jones,LATAM,Negotiation,71691.19,24947.26,12.1,2025-10-28
DEAL-0129,Diana Prince,APAC,Closed Lost,68470.5,21433.25,24.5,2025-06-20
DEAL-0130,Diana Prince,North America,Proposal,70756.73,15571.34,18.6,2025-05-03
DEAL-0131,Bob Jones,LATAM,Closed Won,110044.47,29092.38,3.2,2025-12-28
DEAL-0132,Diana Prince,North America,Negotiation,43179.39,7777.01,22.8,2025-10-30
DEAL-0133,Bob Jones,North America,Qualified,88081.04,24045.56,19.5,2025-01-08
DEAL-0134,Alice Smith,APAC,Negotiation,43934.54,15720.28,9.5,2025-05-16
DEAL-0135,Diana Prince,North America,Negotiation,77081.91,32083.93,1.7,2025-06-12
DEAL-0136,Bob Jones,North America,Qualified,83705.95,19772.49,24.5,2025-11-20
DEAL-0137,Bob Jones,APAC,Closed Won,85947.45,15483.62,1.1,2025-11-21
DEAL-0138,Bob Jones,EMEA,Negotiation,38737.29,10166.69,10.3,2025-01-29
DEAL-0139,Alice Smith,LATAM,Negotiation,96139.74,19323.62,17.1,2025-12-16
DEAL-0140,Diana Prince,APAC,Qualified,109975.34,21218.13,6.4,2025-09-12
DEAL-0141,Carlos Ray,EMEA,Closed Won,108374.48,31382.65,11.0,2025-01-05
DEAL-0142,Diana Prince,APAC,Qualified,118579.94,28429.1,21.1,2025-06-26
DEAL-0143,Alice Smith,EMEA,Qualified,119927.96,48690.83,14.3,2025-04-12
DEAL-0144,Alice Smith,LATAM,Proposal,39025.32,14040.67,0.2,2025-10-22
DEAL-0145,Evan Wright,LATAM,Proposal,94505.84,41779.22,19.4,2025-12-18
DEAL-0146,Bob Jones,APAC,Closed Lost,74812.47,19129.27,15.7,2025-04-28
DEAL-0147,Diana Prince,North America,Negotiation,79329.17,19251.59,9.1,2025-11-18
DEAL-0148,Diana Prince,EMEA,Closed Lost,15365.34,3665.14,3.3,2025-03-09
DEAL-0149,Evan Wright,APAC,Closed Lost,105792.97,27480.49,6.4,2025-10-04
DEAL-0150,Carlos Ray,North America,Qualified,116249.17,27730.36,24.1,2025-09-04
DEAL-0151,Diana Prince,APAC,Closed Won,91727.42,19967.63,19.8,2025-03-14
DEAL-0152,Carlos Ray,APAC,Negotiation,35412.74,6624.9,9.5,2025-01-08
DEAL-0153,Bob Jones,LATAM,Closed Won,113133.57,20647.31,15.5,2025-11-23
DEAL-0154,Alice Smith,LATAM,Proposal,42720.72,14227.05,16.2,2025-10-15
DEAL-0155,Carlos Ray,LATAM,Closed Won,21074.36,9143.71,2.4,2025-03-01
DEAL-0156,Evan Wright,LATAM,Negotiation,20601.37,5893.91,18.6,2025-10-03
DEAL-0157,Diana Prince,LATAM,Proposal,106822.59,37011.52,0.8,2025-03-21
DEAL-0158,Bob Jones,APAC,Closed Won,29986.01,8498.3,24.5,2025-07-09
DEAL-0159,Carlos Ray,North America,Qualified,67613.57,29976.66,6.9,2025-07-08
DEAL-0160,Alice Smith,EMEA,Negotiation,114136.24,45341.46,24.3,2025-03-04
DEAL-0161,Bob Jones,EMEA,Closed Won,95481.38,21299.1,20.7,2025-01-26
DEAL-0162,Bob Jones,APAC,Closed Lost,28823.1,6190.78,19.7,2025-10-11
DEAL-0163,Bob Jones,EMEA,Negotiation,5326.09,2170.5,6.3,2025-11-02
DEAL-0164,Bob Jones,North America,Proposal,17641.53,7231.87,19.7,2025-03-31
DEAL-0165,Carlos Ray,North America,Closed Lost,72718.09,11251.98,18.5,2025-05-02
DEAL-0166,Diana Prince,APAC,Negotiation,18069.67,3054.99,14.8,2025-09-27
DEAL-0167,Alice Smith,APAC,Qualified,62941.45,27292.97,16.1,2025-08-20
DEAL-0168,Diana Prince,LATAM,Closed Won,11994.92,3522.84,12.3,2025-01-16
DEAL-0169,Evan Wright,EMEA,Closed Won,13451.43,2343.74,3.2,2025-08-16
DEAL-0170,Carlos Ray,LATAM,Negotiation,77803.82,24469.84,13.3,2025-11-16
DEAL-0171,Alice Smith,EMEA,Qualified,63138.37,17619.38,11.3,2025-08-21
DEAL-0172,Diana Prince,LATAM,Closed Won,52588.56,20942.12,7.8,2025-04-27
DEAL-0173,Bob Jones,LATAM,Closed Won,81487.4,21373.36,2.3,2025-06-10
DEAL-0174,Carlos Ray,EMEA,Negotiation,15721.46,2813.66,1.5,2025-02-13
DEAL-0175,Diana Prince,APAC,Qualified,69593.59,24427.63,21.7,2025-10-15
DEAL-0176,Carlos Ray,North America,Negotiation,116365.84,38415.04,12.7,2025-01-27
DEAL-0177,Alice Smith,APAC,Negotiation,80524.67,17495.87,9.2,2025-03-21
DEAL-0178,Evan Wright,North America,Negotiation,71021.5,27852.25,23.2,2025-05-23
DEAL-0179,Carlos Ray,APAC,Proposal,35756.49,7298.79,0.2,2025-12-22
DEAL-0180,Bob Jones,North America,Closed Won,70126.93,18950.77,18.7,2025-03-15
DEAL-0181,Bob Jones,APAC,Proposal,48262.36,13807.56,18.0,2025-04-21
DEAL-0182,Bob Jones,EMEA,Negotiation,73565.73,30529.97,1.2,2025-10-18
DEAL-0183,Diana Prince,LATAM,Qualified,36291.83,12650.66,6.8,2025-02-11
DEAL-0184,Carlos Ray,LATAM,Negotiation,18089.01,5046.37,16.7,2025-09-20
DEAL-0185,Alice Smith,North America,Closed Lost,30359.62,13520.16,7.5,2025-01-24
DEAL-0186,Carlos Ray,APAC,Closed Won,93245.2,35363.08,0.2,2025-04-19
DEAL-0187,Bob Jones,APAC,Closed Won,25204.9,6655.66,9.9,2025-08-09
DEAL-0188,Alice Smith,APAC,Negotiation,55165.25,15883.52,10.7,2025-01-22
DEAL-0189,Alice Smith,LATAM,Closed Won,86592.38,23839.59,24.2,2025-07-27
DEAL-0190,Carlos Ray,North America,Qualified,97152.05,32588.45,21.1,2025-03-29
DEAL-0191,Alice Smith,LATAM,Proposal,55102.8,14885.19,18.6,2025-05-05
DEAL-0192,Evan Wright,North America,Negotiation,43302.89,8679.62,12.7,2025-04-24
DEAL-0193,Bob Jones,EMEA,Closed Won,45376.47,19850.71,3.7,2025-06-28
DEAL-0194,Alice Smith,EMEA,Qualified,24952.39,4887.2,11.6,2025-04-12
DEAL-0195,Evan Wright,APAC,Proposal,92385.87,26299.63,3.8,2025-10-16
DEAL-0196,Carlos Ray,North America,Proposal,58925.92,20000.37,12.7,2025-02-04
DEAL-0197,Carlos Ray,APAC,Closed Won,58100.39,9370.56,16.1,2025-06-08
DEAL-0198,Diana Prince,North America,Qualified,75725.96,22878.35,22.7,2025-02-16
DEAL-0199,Diana Prince,EMEA,Closed Won,79961.31,19707.11,11.3,2025-10-20
DEAL-0200,Bob Jones,North America,Closed Lost,117974.34,20680.75,17.7,2025-06-25
